"STUDY.ACCESSION","PUBMED.ID","DISEASE.TRAIT","INITIAL.SAMPLE.SIZE","MAPPED_TRAIT","NUMBER.OF.INDIVIDUALS","BROAD.ANCESTRAL.CATEGORY"
"GCST000815",20876614,"Non-small cell lung cancer","621 Korean ancestry cases, 1,541 Korean ancestry controls","non-small cell lung carcinoma",2162,"East Asian"
"GCST000824",20932654,"Erectile dysfunction and prostate cancer treatment","27 African American cases, 52 African American controls","response to radiation, prostate carcinoma, erectile dysfunction",79,"African American or Afro-Caribbean"
"GCST000842",20972438,"Bladder cancer","3,532 European ancestry cases, 5,120 European ancestry controls","urinary bladder carcinoma",8652,"European"
"GCST000843",20972440,"Colorectal cancer","3,334 European ancestry cases, 4,628 European ancestry controls","colorectal cancer",30420,"European"
"GCST000843",20972440,"Colorectal cancer","3,334 European ancestry cases, 4,628 European ancestry controls","colorectal cancer",7962,"European"
"GCST000844",20978177,"Prostate cancer mortality","196 European ancestry lethal cases, 368 European ancestry long-term survivor cases","survival time, metastatic prostate cancer",564,"European"
"GCST000846",21060860,"Breast cancer in BRCA2 mutation carriers","899 European ancestry cases, 804 European ancestry controls","breast carcinoma",1703,"European"
"GCST000851",21037568,"Hodgkin's lymphoma","589 European ancestry cases, 5,199 European ancestry controls","Hodgkins lymphoma",5788,"European"
"GCST000867",21062454,"Breast cancer (estrogen-receptor negative)","617 European ancestry cases, 4,583 European ancestry controls","breast carcinoma",5200,"European"
"GCST000871",21079520,"Non-small cell lung cancer (survival)","105 East Asian ancestry cases","survival time, non-small cell lung carcinoma",105,"East Asian"
"GCST000896",21118971,"Small-cell lung cancer (survival)","245 Han Chinese ancestry cases","small cell lung carcinoma",245,"East Asian"
"GCST000901",21124317,"Neuroblastoma","1,627 European ancestry child cases, 3,254 European ancestry child controls","neuroblastoma",4881,"European"
"GCST000902",21105107,"Hepatocellular carcinoma","180 Korean ancestry cases, 271 Korean ancestry controls","hepatocellular carcinoma",451,"East Asian"
"GCST000906",21131588,"Chronic lymphocytic leukemia","407 European ancestry cases, 296 European ancestry controls","chronic lymphocytic leukemia",703,"European"
"GCST000907",21131975,"Renal cell carcinoma","3,772 European ancestry cases, 8,505 European ancestry controls","renal cell carcinoma",12277,"European"
"GCST000908",21139019,"Ileal carcinoids","239 European ancestry cases, 107 European ancestry controls","carcinoid tumor",346,"European"
"GCST000947",21242121,"Lung adenocarcinoma (clinical stage)","600 European ancestry cases","lung adenocarcinoma",600,"European"
"GCST000948",21242260,"Colorectal cancer","1,583 Japanese ancestry cases, 1,898 Japanese ancestry controls","colorectal cancer",3481,"East Asian"
"GCST000952",21263130,"Breast cancer","2,839 European ancestry cases, 3,507 European ancestry controls","breast carcinoma",6346,"European"
"GCST000989",21357381,"Colorectal cancer","1,191 European ancestry cases, 999 European ancestry controls","colorectal cancer",2190,"European"
"GCST001010",21399635,"Primary biliary cholangitis","1,840 European ancestry cases, 5,163 European ancestry controls and (Liu et al)","biliary liver cirrhosis",7003,"European"
"GCST001011",21437268,"Oral cavity and pharyngeal cancer","2,091 European ancestry cases, 8,334 European ancestry controls","upper aerodigestive tract neoplasm",10425,"European"
"GCST001012",21424380,"Breast cancer","302 European ancestry female cases, 321 European ancestry female controls","breast carcinoma",623,"European"
"GCST001027",21460842,"Uterine fibroids","1,607 Japanese ancestry cases, 1,428 Japanese ancestry controls","uterine fibroid",3035,"East Asian"
"GCST001028",21467234,"Prostate cancer","202 European ancestry more aggressive cases, 100 European ancestry controls","prostate carcinoma",302,"European"
"GCST001031",21471979,"Large B-cell lymphoma","74 Japanese ancestry cases, 934 Japanese ancestry controls","diffuse large B-cell lymphoma",1008,"East Asian"
"GCST001034",21478494,"Cutaneous nevi","9,136 European ancestry individuals","nevus",9136,"European"
"GCST001040",21499250,"Endometrial cancer","1,265 European ancestry cases, 5,190 European ancestry controls","endometrial neoplasm",6455,"European"
"GCST001041",21499248,"Hepatocellular carcinoma","721 Japanese ancestry cases, 2,890 Japanese ancestry controls","hepatocellular carcinoma",3611,"East Asian"
"GCST001051",21533074,"Follicular lymphoma","379 European ancestry cases, 791 European ancestry controls","neoplasm of mature B-cells",1170,"European"
"GCST001058",21531791,"Glioma","4,147 European ancestry cases, 7,435 European ancestry controls","central nervous system cancer",11582,"European"
"GCST001063",21540461,"Chronic myeloid leukemia","201 Korean ancestry cases, 497 Korean ancestry controls","chronic myelogenous leukemia",698,"East Asian"
"GCST001067",21551455,"Testicular cancer","349 European ancestry cases, 919 European ancestry controls","testicular carcinoma",1268,"European"
"GCST001078",21602798,"Prostate cancer","3,425 African American cases, 3,290 African American controls","prostate carcinoma",6715,"African American or Afro-Caribbean"
"GCST001089",21642993,"Esophageal cancer","2,031 Han Chinese ancestry cases, 2,044 Han Chinese ancestry controls","esophageal carcinoma",4075,"East Asian"
"GCST001124",21700618,"Basal cell carcinoma","2,045 European ancestry cases, 6,013 European ancestry controls","basal cell carcinoma",8058,"European"
"GCST001129",21706340,"Melanoma","156 European ancestry cases from 34 high-risk families, 2,150 European ancestry controls","melanoma",2306,"European"
"GCST001140",21725308,"Lung cancer","2,331 Han Chinese ancestry cases, 3,077 Han Chinese ancestry controls","lung carcinoma",5408,"East Asian"
"GCST001147",21743057,"Prostate cancer","2,782 European ancestry cases, 4,458 European ancestry controls","prostate carcinoma",7240,"European"
"GCST001148",21743467,"Prostate cancer","6,621 European ancestry cases, 6,939 European ancestry controls","prostate carcinoma",13560,"European"
"GCST001153",21750109,"Bladder cancer","2,234 European ancestry cases, 41,603 European ancestry controls","urinary bladder carcinoma",43837,"European"
"GCST001161",21761138,"Colorectal cancer","2,906 European ancestry cases, 3,416 European ancestry controls","colorectal cancer",6322,"European"
"GCST001184",21804547,"Meningioma","859 European ancestry cases, 704 European ancestry controls","Meningioma",1563,"European"
"GCST001193",21824976,"Bladder cancer","4,501 European ancestry cases, 6,076 European ancestry controls","urinary bladder carcinoma",10577,"European"
"GCST001194",21827660,"Glioma","781 European ancestry cases, 3,992 European ancestry controls","central nervous system cancer",4773,"European"
"GCST001210",21866343,"Non-small cell lung cancer","445 Korean ancestry cases, 497 Korean ancestry controls","non-small cell lung carcinoma",942,"East Asian"
"GCST001224",21908515,"Breast cancer","2,062 East Asian ancestry cases, 2,066 East Asian ancestry controls","breast carcinoma",4128,"East Asian"
"GCST001245",21926416,"Melanoma","1,804 European ancestry cases, 1,026 European ancestry controls","melanoma",2830,"European"
"GCST001250",21946351,"Basal cell carcinoma","2,121 European ancestry cases, 39,614 European ancestry controls","basal cell carcinoma",41735,"European"
"GCST001258",21964575,"Ovarian cancer","640 European ancestry cases, 41,607 European ancestry controls","ovarian carcinoma",42247,"European"
"GCST001266",21983785,"Melanoma","2,168 European ancestry cases, 4,387 European ancestry controls","melanoma",6555,"European"
"GCST001267",21983787,"Melanoma","2,804 European ancestry cases, 7,618 European ancestry controls","melanoma",10422,"European"
"GCST001283",22010048,"Renal cell carcinoma","894 European ancestry cases, 1,516 European ancestry controls","renal cell carcinoma",2410,"European"
"GCST001298",22037553,"Breast cancer","1,004 African American cases, 2,745 African American controls,1,718 European ancestry cases, 3,670 European ancestry controls","breast carcinoma",5388,"European"
"GCST001298",22037553,"Breast cancer","1,004 African American cases, 2,745 African American controls,1,718 European ancestry cases, 3,670 European ancestry controls","breast carcinoma",3749,"African American or Afro-Caribbean"
"GCST001300",22037551,"Gastric cancer","1,006 Han Chinese ancestry cases, 2,273 Han Chinese ancestry controls","gastric carcinoma",3279,"East Asian"
"GCST001320",22076464,"Acute lymphoblastic leukemia (childhood)","419 European ancestry ETV6-RUNX1 positive cases, 474 European ancestry controls","acute lymphoblastic leukemia",893,"European"
"GCST001323",22086417,"Nodular sclerosis Hodgkin lymphoma","393 European ancestry cases, 3,315 European ancestry controls","nodular sclerosis Hodgkin lymphoma",3708,"European"
"GCST001331",22120009,"Multiple myeloma","1,675 European ancestry cases, 5,903 European ancestry controls","multiple myeloma",7578,"European"
"GCST001338",22130093,"Prostate cancer","316 cases, 229 controls","prostate carcinoma",545,"NR"
"GCST001348",22174901,"Hepatocellular carcinoma","95 Chinese ancestry HBV-infected cases, 97 Chinese ancestry HBV infected controls","hepatocellular carcinoma",192,"East Asian"
"GCST001350",22158540,"Pancreatic cancer","981 Han Chinese ancestry cases, 1,991 Han Chinese ancestry controls","pancreatic carcinoma",2972,"East Asian"
"GCST001370",22219177,"Prostate cancer (SNP x SNP interaction)","4,723 European ancestry cases, 4,792 European ancestry controls","genetic variation, prostate carcinoma",9515,"European"
"GCST001373",22232737,"Breast cancer (survival)","1,950 Chinese ancestry cases","event free survival time, survival time, breast carcinoma",1950,"East Asian"
"GCST001382",22267200,"Thyroid cancer","27,758 European ancestry individuals","thyroid carcinoma",27758,"European"
"GCST001387",22286212,"Hodgkin's lymphoma","1,200 European ancestry cases, 6,417 European ancestry controls","Hodgkins lymphoma",7617,"European"
"GCST001404",22318345,"Gallbladder cancer","41 Japanese ancestry cases, 866 Japanese ancestry controls","gallbladder neoplasm",907,"East Asian"
"GCST001407",22327514,"Ewing sarcoma","Up to 427 European ancestry cases, up to 4,352 European ancestry controls","Ewing sarcoma",4779,"European"
"GCST001420",22383897,"Breast cancer","2,918 Chinese ancestry cases, 2,324 Chinese ancestry controls","breast carcinoma",5242,"East Asian"
"GCST001426",22367438,"Prostate cancer (SNP x SNP interaction)","1,176 cases, 1,101 controls","prostate carcinoma",2277,"NR"
"GCST001447",22426144,"Endometrial cancer","832 Chinese ancestry cases, 2,682 Chinese ancestry controls","endometrial neoplasm",3514,"East Asian"
"GCST001457",22452962,"Breast cancer","2,273 Korean ancestry cases, 2,052 Korean ancestry controls","breast carcinoma",4325,"East Asian"
"GCST001470",22472174,"Glioblastoma","315 European ancestry cases","glioblastoma multiforme",315,"European"
"GCST001480",22503698,"Oral cancers (chewing tobacco related)","55 South Asian ancestry cases, 92 South Asian ancestry controls","matrix metalloproteinase measurement, mouth neoplasm",147,"South Asian"
"GCST001489",22532574,"Percent mammographic density","1,241 European ancestry female individuals","breast carcinoma",1241,"European"
"GCST001500",22544364,"Wilms tumor","757 European ancestry cases, 1,879 European ancestry controls","Nephroblastoma",2636,"European"
"GCST001543",22637743,"Lung cancer (asbestos exposure interaction)","1,154 European ancestry cases, 1,137 European ancestry controls","lung carcinoma, asbestos exposure measurement",2291,"European"
"GCST001544",22634755,"Colorectal cancer","8,323 European ancestry cases, 9,457 European ancestry controls","colorectal cancer",17780,"European"
"GCST001556",22665904,"Pancreatic cancer","252 European ancestry cases","pancreatic carcinoma",252,"European"
"GCST001570",22700719,"Chronic lymphocytic leukemia","1,121 European ancestry cases, 3,745 European ancestry controls","chronic lymphocytic leukemia",4866,"European"
"GCST001589",22794196,"Ovarian cancer","342 European ancestry cases, 643 European ancestry controls","ovarian carcinoma",985,"European"
"GCST001603",22807686,"Hepatocellular carcinoma","1,538 Han Chinese ancestry HBV-positive HCC cases, 1,465 Han Chinese ancestry chronic HBV carriers","hepatocellular carcinoma",3003,"East Asian"
"GCST001609",22797724,"Lung adenocarcinoma","1,695 Japanese ancestry cases, 5,333 Japanese ancestry controls","lung adenocarcinoma",7028,"East Asian"
"GCST001623",22841784,"Hepatitis C induced liver fibrosis","1,161 European ancestry HCV-infected individuals","hepatitis C virus infection, cirrhosis of liver",1161,"European"
"GCST001633",22886559,"Glioma","1,856 European ancestry cases, 4,955 European ancestry controls","glioma",6811,"European"
"GCST001638",22899653,"Lung cancer","up to 14,900 European ancestry cases, up to 29,485 European ancestry controls","lung carcinoma",44385,"European"
"GCST001646",22923026,"Prostate cancer","1,033 Japanese ancestry cases, 1,042 Japanese ancestry controls, 1,043 Latino cases, 1,057 Latino controls","prostate carcinoma",2100,"Hispanic or Latin American"
"GCST001646",22923026,"Prostate cancer","1,033 Japanese ancestry cases, 1,042 Japanese ancestry controls, 1,043 Latino cases, 1,057 Latino controls","prostate carcinoma",2075,"East Asian"
"GCST001648",22923054,"Breast cancer","3,016 African American cases, 2,745 African American controls","breast carcinoma",5761,"African American or Afro-Caribbean"
"GCST001660",22941191,"Neuroblastoma","2,101 European ancestry cases, 4,202 European ancestry controls","neuroblastoma",6303,"European"
"GCST001667",22951594,"Breast cancer","1,086 Japanese ancestry cases, 1,816 Japanese ancestry controls","breast carcinoma",2902,"East Asian"
"GCST001672",22960999,"Esophageal cancer  (alcohol interaction)","2,031 Han Chinese ancestry cases, 2,044 Han Chinese ancestry controls","esophageal carcinoma",4075,"East Asian"
"GCST001674",22960999,"Esophageal cancer (squamous cell)","2,031 Han Chinese ancestry cases, 2,044 Han Chinese ancestry controls","squamous cell carcinoma, esophageal carcinoma",4075,"East Asian"
"GCST001683",22976474,"Breast cancer","3,666 European ancestry cases, 28,864 European ancestry controls, 1,004 African American cases, 2,744 African American controls","breast carcinoma",32530,"European"
"GCST001683",22976474,"Breast cancer","3,666 European ancestry cases, 28,864 European ancestry controls, 1,004 African American cases, 2,744 African American controls","breast carcinoma",3748,"African American or Afro-Caribbean"
"GCST001685",23000144,"Primary biliary cholangitis","487 Japanese ancestry cases, 476 Japanese ancestry controls","biliary liver cirrhosis",963,"East Asian"
"GCST001690",23001122,"Breast cancer (male)","823 European ancestry cases, 2,795 European ancestry controls","male breast carcinoma",3618,"European"
"GCST001693",23007406,"Acute lymphoblastic leukemia (childhood)","1,268 European, South Asian, East Asian, African American/Afro-Caribbean, Hispanic and other ancestry cases","acute lymphoblastic leukemia",1268,"African American or Afro-Caribbean, South Asian, European, East Asian, Other, Hispanic or Latin American"
"GCST001700",23021708,"Erectile dysfunction and prostate cancer treatment","132 African American, European, Hispanic/Latin American,  East Asian and South Asian ancestry cases, 103 African American, European, Hispanic/Latin American, East Asian ancestry and South Asian ancestry controls","response to radiation, prostate carcinoma, erectile dysfunction",235,"African American or Afro-Caribbean, South Asian, European, East Asian, Hispanic or Latin American"
"GCST001702",23023329,"Prostate cancer","1,417 Han Chinese ancestry cases, 1,008 Han Chinese ancestry controls","prostate carcinoma",2425,"East Asian"
"GCST001714",23065704,"Prostate cancer","5,132 European ancestry non-aggressive cases, 5,953 European ancestry aggressive cases, 11,463 European ancestry controls","prostate carcinoma",22548,"European"
"GCST001718",23103227,"Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)","2,331 Han Chinese ancestry lung cancer cases, 1,006 Han Chinese ancestry non-cardia gastric cancer cases, 2,031 Han Chinese ancestry esophageal squamous-cell carcinoma cases, 4,006 Han Chinese ancestry controls","lung carcinoma, squamous cell carcinoma, gastric carcinoma",9374,"East Asian"
